2023-11-16 22:00:15,802 INFO    MainThread:43736 [wandb_setup.py:_flush():76] Current SDK version is 0.16.0
2023-11-16 22:00:15,803 INFO    MainThread:43736 [wandb_setup.py:_flush():76] Configure stats pid to 43736
2023-11-16 22:00:15,803 INFO    MainThread:43736 [wandb_setup.py:_flush():76] Loading settings from C:\Users\asus\.config\wandb\settings
2023-11-16 22:00:15,803 INFO    MainThread:43736 [wandb_setup.py:_flush():76] Loading settings from D:\AI\Skills\Paper\handsign_classification\wandb\settings
2023-11-16 22:00:15,803 INFO    MainThread:43736 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-16 22:00:15,803 INFO    MainThread:43736 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-16 22:00:15,803 INFO    MainThread:43736 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': 'd:\\AI\\Skills\\Paper\\handsign_classification\\main.py', 'program': 'd:\\AI\\Skills\\Paper\\handsign_classification\\main.py'}
2023-11-16 22:00:15,803 INFO    MainThread:43736 [wandb_init.py:_log_setup():524] Logging user logs to D:\AI\Skills\Paper\handsign_classification\wandb\run-20231116_220015-zr9arzn4\logs\debug.log
2023-11-16 22:00:15,804 INFO    MainThread:43736 [wandb_init.py:_log_setup():525] Logging internal logs to D:\AI\Skills\Paper\handsign_classification\wandb\run-20231116_220015-zr9arzn4\logs\debug-internal.log
2023-11-16 22:00:15,804 INFO    MainThread:43736 [wandb_init.py:init():564] calling init triggers
2023-11-16 22:00:15,804 INFO    MainThread:43736 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.001, 'architecture': 'ST_GCN', 'dataset': 'INCLUDE', 'epochs': 10}
2023-11-16 22:00:15,804 INFO    MainThread:43736 [wandb_init.py:init():614] starting backend
2023-11-16 22:00:15,804 INFO    MainThread:43736 [wandb_init.py:init():618] setting up manager
2023-11-16 22:00:15,805 INFO    MainThread:43736 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2023-11-16 22:00:15,808 INFO    MainThread:43736 [wandb_init.py:init():624] backend started and connected
2023-11-16 22:00:15,811 INFO    MainThread:43736 [wandb_init.py:init():716] updated telemetry
2023-11-16 22:00:15,812 INFO    MainThread:43736 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2023-11-16 22:00:17,080 INFO    MainThread:43736 [wandb_run.py:_on_init():2254] communicating current version
2023-11-16 22:00:17,765 INFO    MainThread:43736 [wandb_run.py:_on_init():2263] got version response 
2023-11-16 22:00:17,765 INFO    MainThread:43736 [wandb_init.py:init():800] starting run threads in backend
2023-11-16 22:00:20,771 INFO    MainThread:43736 [wandb_run.py:_console_start():2233] atexit reg
2023-11-16 22:00:20,771 INFO    MainThread:43736 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2023-11-16 22:00:20,771 INFO    MainThread:43736 [wandb_run.py:_redirect():2153] Wrapping output streams.
2023-11-16 22:00:20,771 INFO    MainThread:43736 [wandb_run.py:_redirect():2178] Redirects installed.
2023-11-16 22:00:20,772 INFO    MainThread:43736 [wandb_init.py:init():841] run started, returning control to user process
2023-11-16 22:00:34,812 WARNING MsgRouterThr:43736 [router.py:message_loop():77] message_loop has been closed
